@relation repouso

@attribute Giro_x REAL
@attribute esc_x REAL
@attribute Giro_y REAL
@attribute esc_y REAL
@attribute Giro_z REAL
@attribute esc_z REAL
@attribute Acel_x REAL
@attribute esc_x2 REAL
@attribute Acel_y REAL
@attribute esc_y2 REAL
@attribute Acel_z REAL
@attribute esc_z2 REAL
@attribute Bus_x REAL
@attribute Bus_y REAL
@attribute movimento {repouso, leves, caminhada, monta}

@data
-15732,-0.95849609375,-1456,-0.081298828125,3444,0.21484375,-220,-220,233,1,25,0,-5.0677977263,77.0059403227,repouso
-15752,-0.96630859375,-1476,-0.087158203125,3700,0.226806640625,-241,-241,501,3,246,1,-4.80733753704,75.6751961517,repouso
-15704,-0.960205078125,-1456,-0.07958984375,3516,0.211669921875,-238,-238,239,1,-18,-1,-4.94073312383,76.9957918422,repouso
-15788,-0.96484375,-1348,-0.083984375,3700,0.220458984375,-219,-219,264,2,35,0,-4.89631907813,76.4913063235,repouso
-15720,-0.959228515625,-1372,-0.072509765625,3604,0.21142578125,-248,-248,274,2,8,0,-4.65830882214,76.3138193234,repouso
-15772,-0.9609375,-1468,-0.084716796875,3572,0.232666015625,-232,-232,268,2,11,0,-5.00856462053,76.9041910675,repouso
-15696,-0.964111328125,-1468,-0.0810546875,3732,0.234130859375,-231,-231,282,2,37,0,-4.91729038461,75.5832107577,repouso
-15708,-0.962158203125,-1292,-0.0888671875,3704,0.216796875,-229,-229,251,1,31,0,-4.94470111684,75.7124512455,repouso
-15712,-0.965087890625,-1476,-0.08251953125,3424,0.2060546875,-269,-269,282,2,45,0,-5.11286908051,76.4465261635,repouso
-15764,-0.962646484375,-1360,-0.085693359375,3784,0.222412109375,-225,-225,226,1,46,0,-4.98864626162,75.9514618468,repouso
-15772,-0.9599609375,-1360,-0.07958984375,3572,0.205810546875,-243,-243,264,2,31,0,-4.83489079161,76.0515440355,repouso
-15728,-0.95849609375,-1332,-0.09130859375,3396,0.2177734375,-506,-506,508,3,37,0,-4.93390408254,76.259579708,repouso
-15748,-0.968505859375,-1332,-0.080810546875,3476,0.204833984375,-208,-208,6,0,27,0,-5.09157849597,76.2356887513,repouso
-15648,-0.962890625,-1432,-0.08349609375,3664,0.217041015625,-221,-221,510,3,23,0,-4.96428800854,76.1948465276,repouso
-15812,-0.96435546875,-1360,-0.084716796875,3532,0.21923828125,-215,-215,246,1,40,0,-4.72490758255,76.8213132669,repouso
-15728,-0.966796875,-1408,-0.082763671875,3704,0.224365234375,-496,-496,269,2,61,0,-5.27152364165,75.6975842082,repouso
-15756,-0.9619140625,-1408,-0.083740234375,3712,0.215087890625,-224,-224,265,2,3,0,-5.11903673382,76.8595047769,repouso
-15788,-0.957275390625,-1296,-0.087646484375,3552,0.20654296875,-215,-215,260,1,43,0,-5.05116318928,75.8078714365,repouso
